x, y
0.10238946730422566, 0
1.8430045527261019, 1380953107561387800
3.481228217927098, 3142856416248139000
5.580205462455436, 5857144310360862000
7.679180754067123, 8857142130533852000
9.522185306793224, 12761906215122768000
11.416381663796457, 16523806254069008000
13.720137842933248, 18428568158830916000
15.358361508134246, 20476190476190474000
17.508534462773024, 23809523809523806000
20.119455137989185, 26095237731933598000
22.474403121403107, 26904761904761905000
24.573378413014794, 27047618684314546000
26.160408321022004, 26142857869466150000
27.593856957447855, 23523810250418530000
28.976107930846617, 19809524899437314000
29.79522366928042, 17952377682640435000
32.61092327910504, 16190476190476194000
34.3515344586936, 16142857869466147000
36.55290117052617, 15619047255743120000
38.08873732133959, 14952381678989955000
39.778158649567686, 14285714285714287000
41.00682444555178, 15095234825497582000
42.74743953097365, 18428568158830916000
45.204778934608456, 21761901492164248000
47.20136280599926, 23714285350981214000
48.378838750622876, 24142857506161644000
50.22184525626564, 22809524536132813000
51.86006892146662, 20714285714285710000
53.54949024969472, 18904758635021394000
55.29010142928328, 16428571428571427000
56.92832509448428, 14476191202799477000
59.23207932070442, 12380952380952380000
61.48464369556408, 11714284987676713000
62.610921977160594, 11619048345656621000
64.30034330538868, 12190475463867190000
66.19453966239192, 13619046892438616000
68.29351885983692, 15476190476190480000
69.47098699279393, 16428571428571427000
70.64846293741753, 16952382042294454000
72.18429908823096, 16666666666666664000
74.12969310826128, 13952382405598962000
75.76791677346228, 11666666666666666000
78.02048114832195, 9047619047619046000
80.42662288892966, 7142857142857146000
83.44709752752941, 5619049072265622000
87.13310272714831, 3714287167503722000
89.48805461639554, 2095238821847101000
90.20477502877516, 1047617594401038000
