x, y
0.47191487242323826, 795477062789720800
1.4157326159760086, 1886947035025547000
2.202249402485583, 3070914438613580300
2.5168513165719304, 4199382818830773000
3.3033681030815045, 5401849426409490000
4.561799762014339, 3736895662069726700
5.977532377990348, 3163411869965790000
8.651684651605441, 2737923121186110500
9.123599524028691, 5068859520380813000
10.06741726758145, 6363823559311739000
11.168535968177371, 7695786006224033000
11.955052754686946, 9360739770563795000
13.056183456576607, 11340184942640947000
14.314603114215702, 13763617361789067000
15.1011199007253, 15317574490785937000
15.887636687234895, 15909558192579953000
17.77528417563413, 15965056510251400000
19.505618705696467, 15262076173114490000
21.393254192801983, 16131551816115438000
22.337071936354732, 17149023560989737000
24.6966222958835, 15946556953411019000
25.79775299777315, 16150051372955818000
26.426968827239573, 15872559078899190000
27.370786570792344, 13634121522455490000
29.730336930321087, 11821171303392676000
31.30337050334026, 9897225154686366000
33.19100599044578, 10137716923663438000
35.8651702653546, 8676258637417569000
37.91010670950329, 10341212401757331000
40.741571941455305, 6752312488711259000
42.471906471517656, 7214799645472303000
45.617973617555975, 6844809920063470000
50.179773379570314, 9527235429277530000
51.75280695258951, 9175744907859376000
54.11235731211825, 10082220017390785000
55.05617505567102, 8417266253051021000
56.31460671460385, 6659815057359050000
58.359543158752516, 8102774139614235000
60.40449160419496, 5235353767695754000
62.44942804834363, 5938334810532060000
64.33707553674287, 6012333037893586000
65.91010910976205, 8084274935623551000
67.79774459686756, 6826310716072786000
70.15729495639631, 8750255453380301000
71.8876414877524, 7381295304186039000
74.40448080303058, 7029804782767886000
76.60674220680993, 7455292120148771000
78.02246282149217, 8713257751098331000
79.91009830859767, 8842752884732509000
81.79775779829068, 9416238088235241000
83.05616545463603, 8824255092140621000
85.4157158141648, 9416238088235241000
89.50561270504961, 6974305759397043000
91.2359592364057, 7566290166890457000
93.1235947235112, 5993833833902903000
94.53931533819348, 5013360497009970000
97.52809352848237, 5790338355809008000
100.35953475784692, 4735868202953343000
102.08988128920296, 7066803190749253000
105.865152263414, 9379239680253874000
109.32584532612616, 5531346677141859000
117.34830214697145, 295991498047307600
126.31458871266321, 73998227361523700
