lon,lat,X,Y,offset,error,fzw
95.9869520537117,22.6004908207551,1426378.474065,2527373.687254,1.127813,0.368963,19350
95.9875783312906,22.5835302844898,1426558.495451,2525483.744413,1.286471,0.226609,14130
95.9855585439269,22.5659130471785,1426468.484758,2523503.804294,1.771861,0.276528,11790
95.9801863576199,22.5500963947093,1426018.431293,2521703.858731,1.112381,0.704888,14760
95.9756282732201,22.5334275182983,1425658.388521,2519813.91589,2.560329,0.81256,13500
95.9736131346602,22.5158094210266,1425568.377828,2517833.975771,2.414743,0.66461,14400
95.9733802797741,22.4988971151555,1425658.388521,2515944.03293,2.974897,0.764528,12240
95.975740992768,22.4818392735228,1426018.431293,2514054.090089,2.60697,0.473127,17280
95.9763736355415,22.4648785730238,1426198.452679,2512164.147248,3.506187,0.536614,14220
95.9744148166246,22.4480632681172,1426108.441986,2510274.204407,3.758438,0.351184,15210
95.9741851059763,22.4311509940918,1426198.452679,2508384.261566,3.542209,0.212097,16380
95.9730403996031,22.4134840300981,1426198.452679,2506404.321447,4.360441,0.465272,19170
95.9676301594162,22.3968615719118,1425748.399214,2504514.378606,4.347898,0.529712,20070
95.9656764708308,22.3800455334693,1425658.388521,2502624.435765,3.868146,0.405968,25110
95.9680416666891,22.3629882222085,1426018.431293,2500734.492924,4.660431,0.330556,19530
95.9686802264238,22.3460274852049,1426198.452679,2498844.550083,4.23272,0.375735,19170
95.9701309503406,22.3282155733876,1426468.484758,2496864.609964,4.234594,0.504246,15120
95.9707706964575,22.3112549823276,1426648.506144,2494974.667123,4.991748,0.387606,18450
95.9714110688817,22.294294448854,1426828.52753,2493084.724282,4.600764,0.449265,21780
95.9717792064287,22.2596185360402,1427098.55961,2489214.841322,4.321265,0.686498,18900
95.9732843747546,22.2426101326058,1427368.591689,2487324.898481,5.229773,0.436408,17910
95.9730646264686,22.2256978103103,1427458.602382,2485434.95564,4.888932,0.462307,25920
95.9737082760035,22.2087375342717,1427638.623768,2483545.012799,5.379449,0.374015,18090
95.9734386558066,22.191022162976,1427728.634461,2481565.07268,5.526155,0.518999,19170
95.9740837030353,22.1740619714749,1427908.655847,2479675.129839,5.219789,0.442264,24210
95.9747293766061,22.1571018380701,1428088.677233,2477785.186998,6.013528,0.559045,14130
95.9753756765517,22.1401417628262,1428268.698619,2475895.244157,5.341747,0.413406,19800
95.9767820764717,22.1215278276102,1428538.730698,2473825.30676,5.762392,0.47138,21690
95.9782915213254,22.1045201439544,1428808.762777,2471935.363919,5.979665,0.598514,15840
95.9789395710822,22.0875603057584,1428988.784164,2470045.421078,5.78897,0.485002,15480
95.9787265394059,22.07064821922,1429078.794857,2468155.478237,5.828742,0.423596,18810
95.9802375506794,22.0536408047432,1429348.826936,2466265.535396,5.724979,0.349079,16110
95.9817489777596,22.0366335070068,1429618.859015,2464375.592555,5.591503,0.336744,16110
95.9823994303157,22.0196739342655,1429798.880401,2462485.649714,5.361841,0.530221,17640
95.9821892208423,22.0027619926333,1429888.891094,2460595.706873,5.316322,0.281208,15930
95.9845124264,21.9849043574891,1430248.933866,2458615.766753,4.990563,0.371682,14310
95.983391624275,21.9672369461314,1430248.933866,2456635.826634,4.680876,0.252653,14940
95.9831837976766,21.9503250470528,1430338.944559,2454745.883793,5.015442,0.308769,14310
95.9838376719756,21.9333657054325,1430518.965945,2452855.940952,4.807879,0.421732,14580
95.9835806177109,21.9156507551954,1430608.976638,2450876.000833,4.715624,0.347395,22230
95.9842358889819,21.8986915001601,1430788.998024,2448986.057992,4.60464,0.330651,16380
95.9848917871087,21.8817323042725,1430969.01941,2447096.115151,4.451309,0.223826,14400
95.9864087628036,21.8647258605192,1431239.05149,2445206.17231,3.48909,0.374809,17550
95.9861548351622,21.8470110186441,1431329.062183,2443226.232191,3.875448,0.383693,17190
95.986812653749,21.83005200043,1431509.083569,2441336.28935,3.591575,0.203177,25020
95.9866109601827,21.8131402482833,1431599.094262,2439446.346509,3.560556,0.167382,20250
95.9864100970325,21.7962284884658,1431689.104955,2437556.403668,3.556874,0.172438,14040
95.9861596100987,21.7785136429298,1431779.115648,2435576.463549,3.41169,0.153823,20610
95.9868202845148,21.7615547684276,1431959.137034,2433686.520708,3.437399,0.168566,20880
95.9874815857796,21.7445959535823,1432139.15842,2431796.577867,3.085583,0.195171,21150
95.9881435139322,21.7276371984591,1432319.179806,2429906.635026,3.156956,0.181884,15660
95.9887557758554,21.7098754242439,1432499.201192,2427926.694907,3.200058,0.150837,21960
95.9894189974979,21.6929167886218,1432679.222578,2426036.752066,3.57774,0.17088,18360
95.9900828461396,21.6759582129207,1432859.243964,2424146.809225,3.60111,0.143231,12780
95.9898881071541,21.6590466043245,1432949.254657,2422256.866384,3.65709,0.142157,16020
95.987975959841,21.6422287182338,1432859.243964,2420366.923543,3.168234,0.163913,16380
95.9869240546467,21.6253638464191,1432859.243964,2418476.980702,3.049342,0.156809,18720
95.9875409967198,21.6076022311589,1433039.26535,2416497.040583,3.037595,0.136852,18630
95.9890674449445,21.5905970095215,1433309.29743,2414607.097742,2.887104,0.148657,20520
95.9905943143314,21.5735919066965,1433579.329509,2412717.154901,2.872316,0.165568,17370
95.9921216052263,21.5565869227786,1433849.361588,2410827.21206,2.902,0.153503,21150
95.9927908150046,21.5396287343147,1434029.382974,2408937.269219,3.01265,0.172001,13500
95.9916940111745,21.5219607931696,1434029.382974,2406957.3291,3.031134,0.178261,17190
95.993223017538,21.5049560597478,1434299.415053,2405067.386259,2.936919,0.132094,12690
